Date,Open,High,Low,Close,Adj Close,Volume
2023-06-21,4300.000000,4370.000000,4300.000000,4360.000000,4138.122070,11124900
2023-06-22,4370.000000,4370.000000,4250.000000,4250.000000,4033.719727,15969700
2023-06-23,4250.000000,4290.000000,4210.000000,4270.000000,4052.701904,7696300
2023-06-26,4270.000000,4270.000000,4230.000000,4230.000000,4014.737305,6553900
2023-06-27,4230.000000,4280.000000,4230.000000,4260.000000,4043.210938,10533700
2023-07-03,4250.000000,4310.000000,4210.000000,4310.000000,4090.666748,11030200
2023-07-04,4320.000000,4340.000000,4300.000000,4330.000000,4109.648438,3652500
2023-07-05,4330.000000,4330.000000,4280.000000,4310.000000,4090.666748,6305600
2023-07-06,4260.000000,4290.000000,4220.000000,4250.000000,4101.281250,12604100
2023-07-07,4230.000000,4240.000000,4210.000000,4240.000000,4091.631348,6160700
2023-07-10,4240.000000,4320.000000,4240.000000,4250.000000,4101.281250,7747800
2023-07-11,4260.000000,4280.000000,4240.000000,4250.000000,4101.281250,4794700
2023-07-12,4250.000000,4260.000000,4200.000000,4210.000000,4062.680908,16641400
2023-07-13,4220.000000,4250.000000,4210.000000,4250.000000,4101.281250,6041000
2023-07-14,4250.000000,4290.000000,4230.000000,4250.000000,4101.281250,10570200
2023-07-17,4260.000000,4290.000000,4250.000000,4270.000000,4120.581543,9589000
2023-07-18,4270.000000,4300.000000,4230.000000,4270.000000,4120.581543,4258600
2023-07-20,4260.000000,4270.000000,4210.000000,4220.000000,4072.331299,8607100
2023-07-21,4220.000000,4290.000000,4220.000000,4290.000000,4139.881836,6015200
2023-07-24,4290.000000,4340.000000,4270.000000,4290.000000,4139.881836,8770000
2023-07-25,4190.000000,4190.000000,4020.000000,4050.000000,3908.280029,49204900
2023-07-26,4050.000000,4070.000000,3950.000000,3970.000000,3831.079346,37401200
2023-07-27,3970.000000,4000.000000,3840.000000,3840.000000,3705.628418,40562400
2023-07-28,3850.000000,3900.000000,3810.000000,3870.000000,3734.578613,20221700
2023-07-31,3870.000000,3890.000000,3830.000000,3850.000000,3715.278320,19175000
2023-08-01,3830.000000,3850.000000,3770.000000,3770.000000,3638.077881,20623500
2023-08-02,3770.000000,3800.000000,3680.000000,3690.000000,3560.877197,28813900
2023-08-03,3690.000000,3830.000000,3670.000000,3770.000000,3638.077881,26351700
2023-08-04,3780.000000,3810.000000,3730.000000,3740.000000,3609.127441,18183400
2023-08-07,3740.000000,3770.000000,3720.000000,3720.000000,3589.827393,7680200
2023-08-08,3730.000000,3790.000000,3730.000000,3750.000000,3618.777588,10061700
2023-08-09,3750.000000,3770.000000,3720.000000,3720.000000,3589.827393,13411000
2023-08-10,3720.000000,3730.000000,3680.000000,3680.000000,3551.227295,13438900
2023-08-11,3680.000000,3720.000000,3680.000000,3700.000000,3570.527344,7702800
2023-08-14,3700.000000,3730.000000,3630.000000,3730.000000,3599.477539,13589300
2023-08-15,3750.000000,3750.000000,3690.000000,3730.000000,3599.477539,9907900
2023-08-16,3730.000000,3730.000000,3680.000000,3730.000000,3599.477539,5265200
2023-08-18,3680.000000,3720.000000,3680.000000,3690.000000,3560.877197,10416200
2023-08-21,3700.000000,3730.000000,3690.000000,3710.000000,3580.177490,6141700
2023-08-22,3710.000000,3720.000000,3700.000000,3710.000000,3580.177490,5435600
2023-08-23,3710.000000,3780.000000,3700.000000,3750.000000,3618.777588,9837500
2023-08-24,3750.000000,3760.000000,3720.000000,3720.000000,3589.827393,6318100
2023-08-25,3720.000000,3760.000000,3700.000000,3760.000000,3628.427734,5639900
2023-08-28,3790.000000,3800.000000,3760.000000,3780.000000,3647.728027,4538300
2023-08-29,3780.000000,3800.000000,3760.000000,3760.000000,3628.427734,4023200
2023-08-30,3790.000000,3790.000000,3740.000000,3740.000000,3609.127441,6862300
2023-08-31,3740.000000,3760.000000,3670.000000,3670.000000,3541.577148,17604900
2023-09-01,3670.000000,3720.000000,3630.000000,3660.000000,3531.927002,14230900
2023-09-04,3670.000000,3690.000000,3660.000000,3660.000000,3531.927002,4215000
2023-09-05,3660.000000,3670.000000,3600.000000,3620.000000,3493.326904,13723200
2023-09-06,3620.000000,3680.000000,3600.000000,3650.000000,3522.276855,9878900
2023-09-07,3660.000000,3670.000000,3600.000000,3630.000000,3502.976563,13672200
2023-09-08,3630.000000,3630.000000,3570.000000,3610.000000,3483.676758,13784500
2023-09-11,3610.000000,3650.000000,3580.000000,3650.000000,3522.276855,7703500
